invoice_no,date,vendor_code,vendor_name,amount,vat,approval_status
PI/2081/2000,2081-04-16,V001,Kathmandu Steel Suppliers Pvt. Ltd.,1483116,192805,Approved
PI/2081/2001,2081-10-09,V006,Lumbini Packaging Industries,512020,66563,Approved
PI/2081/2002,2081-09-24,V012,Mt. Everest Office Supply,455593,59227,Approved
PI/2081/2003,2081-12-20,V006,Lumbini Packaging Industries,1482617,192740,Approved
PI/2081/2004,2082-02-03,V008,Janakpur Spares & Tools,1495221,194379,Approved
PI/2081/2005,2081-06-26,V005,Himalayan IT Services,90392,11751,Approved
PI/2081/2006,2081-05-05,V005,Himalayan IT Services,168075,21850,Pending
PI/2081/2007,2081-12-27,V003,Everest Office Supplies,173825,22597,Approved
PI/2081/2008,2081-10-31,V003,Everest Office Supplies,330588,42976,Approved
PI/2081/2009,2081-12-09,V006,Lumbini Packaging Industries,451145,58649,Approved
PI/2081/2010,2082-01-11,V002,Pokhara Logistics Co.,227493,29574,Approved
PI/2081/2011,2081-04-11,V008,Janakpur Spares & Tools,1043736,135686,Approved
PI/2081/2012,2082-01-20,V002,Pokhara Logistics Co.,1119522,145538,Pending
PI/2081/2013,2081-06-27,V002,Pokhara Logistics Co.,1046719,136073,Approved
PI/2081/2014,2081-11-30,V006,Lumbini Packaging Industries,1179399,153322,Approved
PI/2081/2015,2081-08-02,V009,Karnali Construction,452365,58807,Pending
PI/2081/2016,2081-08-18,V007,Bagmati Power & Fuel,1277184,166034,Approved
PI/2081/2017,2081-05-17,V009,Karnali Construction,267601,34788,Approved
PI/2081/2018,2081-12-13,V001,Kathmandu Steel Suppliers Pvt. Ltd.,1402316,182301,Approved
PI/2081/2019,2082-03-17,V003,Everest Office Supplies,664625,86401,Sole-source
PI/2081/2020,2081-06-29,V003,Everest Office Supplies,501146,65149,Approved
PI/2081/2021,2081-05-28,V012,Mt. Everest Office Supply,1393863,181202,Approved
PI/2081/2022,2081-09-27,V004,Annapurna Holdings Pvt. Ltd.,1002837,130369,Approved
PI/2081/2023,2082-01-15,V010,Himal Family Enterprises,347458,45170,Approved
PI/2081/2024,2081-10-18,V006,Lumbini Packaging Industries,583248,75822,Approved
PI/2081/2025,2081-04-24,V002,Pokhara Logistics Co.,952981,123888,Approved
PI/2081/2026,2081-11-05,V005,Himalayan IT Services,1109499,144235,Approved
PI/2081/2027,2081-06-18,V009,Karnali Construction,1385293,180088,Approved
PI/2081/2028,2082-03-02,V001,Kathmandu Steel Suppliers Pvt. Ltd.,655423,85205,Sole-source
PI/2081/2029,2081-06-19,V005,Himalayan IT Services,49160,6391,Pending
PI/2081/2030,2081-08-23,V010,Himal Family Enterprises,1466213,190608,Approved
PI/2081/2031,2081-09-07,V008,Janakpur Spares & Tools,734122,95436,Pending
PI/2081/2032,2081-12-06,V002,Pokhara Logistics Co.,1044117,135735,Approved
PI/2081/2033,2081-12-04,V006,Lumbini Packaging Industries,695304,90390,Pending
PI/2081/2034,2081-04-07,V006,Lumbini Packaging Industries,715526,93018,Sole-source
PI/2081/2035,2081-11-01,V006,Lumbini Packaging Industries,598976,77867,Approved
PI/2081/2036,2081-10-15,V004,Annapurna Holdings Pvt. Ltd.,169509,22036,Approved
PI/2081/2037,2082-01-11,V012,Mt. Everest Office Supply,1297064,168618,Approved
