vendor_code,vendor_name,pan,related_party,active
V001,Kathmandu Steel Suppliers Pvt. Ltd.,301234567,No,Yes
V002,Pokhara Logistics Co.,302345678,No,Yes
V003,Everest Office Supplies,303456789,No,Yes
V004,Annapurna Holdings Pvt. Ltd.,304567890,Yes,Yes
V005,Himalayan IT Services,305678901,No,Yes
V006,Lumbini Packaging Industries,,No,Yes
V007,Bagmati Power & Fuel,307890123,No,Yes
V008,Janakpur Spares & Tools,308901234,No,Yes
V009,Karnali Construction,309012345,No,Yes
V010,Himal Family Enterprises,310123456,Yes,Yes
V011,Kathmandu Steel Supplier P. Ltd.,301234567,No,Yes
V012,Mt. Everest Office Supply,303456789,No,Yes
