Invoice_No,Date,Customer,City,Product,Quantity,Unit_Price,Amount_NPR,VAT_NPR,Total_NPR,Payment_Status
INV-20810001,2024-07-16,Janakpur Wholesale,Birgunj,Food,39,1219.0,47541.0,6180.33,53721.33,Paid
INV-20810002,2024-07-18,Kathmandu Distributors,Kathmandu,Food,27,1418.0,38286.0,4977.18,43263.18,Overdue
INV-20810003,2024-07-20,Biratnagar Enterprise,Butwal,Stationery,10,1309.0,13090.0,1701.7,14791.7,Paid
INV-20810004,2024-07-22,Pokhara Mart,Birgunj,Food,26,5501.0,143026.0,18593.38,161619.38,Paid
INV-20810005,2024-07-24,Janakpur Wholesale,Bhaktapur,Food,19,1669.0,31711.0,4122.43,35833.43,Paid
INV-20810006,2024-07-26,Birgunj Cargo,Pokhara,Cosmetics,39,3036.0,118404.0,15392.52,133796.52,Pending
INV-20810007,2024-07-28,Annapurna Stores,Pokhara,Food,3,7638.0,22914.0,2978.82,25892.82,Paid
INV-20810008,2024-07-30,Janakpur Wholesale,Bhaktapur,Textile,45,4108.0,184860.0,24031.8,208891.8,Overdue
INV-20810009,2024-08-01,Biratnagar Enterprise,Hetauda,Hardware,13,5724.0,74412.0,9673.56,84085.56,Overdue
INV-20810010,2024-08-03,Pokhara Mart,Bhaktapur,Electronics,28,1589.0,44492.0,5783.96,50275.96,Paid
INV-20810011,2024-08-05,Kathmandu Distributors,Bhaktapur,Textile,20,1756.0,35120.0,4565.6,39685.6,Pending
INV-20810012,2024-08-07,Biratnagar Enterprise,Pokhara,Food,28,491.0,13748.0,1787.24,15535.24,Overdue
INV-20810013,2024-08-09,Biratnagar Enterprise,Janakpur,Cosmetics,8,1561.0,12488.0,1623.44,14111.44,Pending
INV-20810014,2024-08-11,Annapurna Stores,Pokhara,Stationery,41,2476.0,101516.0,13197.08,114713.08,Paid
INV-20810015,2024-08-13,Lumbini Imports,Butwal,Food,39,1628.0,63492.0,8253.96,71745.95999999999,Paid
INV-20810016,2024-08-15,Pokhara Mart,Kathmandu,Cosmetics,1,891.0,891.0,115.83,1006.83,Pending
INV-20810017,2024-08-17,Everest Suppliers,Nepalgunj,Hardware,3,1157.0,3471.0,451.23,3922.23,Paid
INV-20810018,2024-08-19,Biratnagar Enterprise,Janakpur,Food,13,3998.0,51974.0,6756.62,58730.62,Pending
INV-20810019,2024-08-21,Lumbini Imports,Lalitpur,Stationery,28,1873.0,52444.0,6817.72,59261.72,Overdue
INV-20810020,2024-08-23,Everest Suppliers,Nepalgunj,Cosmetics,49,3192.0,156408.0,20333.04,176741.04,Overdue
INV-20810021,2024-08-25,Pokhara Mart,Kathmandu,Cosmetics,25,4354.0,108850.0,14150.5,123000.5,Paid
INV-20810022,2024-08-27,Himalayan Traders,Butwal,Cosmetics,33,5915.0,195195.0,25375.35,220570.35,Paid
INV-20810023,2024-08-29,Birgunj Cargo,Butwal,Hardware,38,478.0,18164.0,2361.32,20525.32,Overdue
INV-20810024,2024-08-31,Lumbini Imports,Lalitpur,Food,6,6825.0,40950.0,5323.5,46273.5,Pending
INV-20810025,2024-09-02,Nepalgunj Goods,Janakpur,Hardware,44,5393.0,237292.0,30847.96,268139.96,Paid
INV-20810026,2024-09-04,Himalayan Traders,Hetauda,Electronics,45,833.0,37485.0,4873.05,42358.05,Overdue
INV-20810027,2024-09-06,Birgunj Cargo,Bhaktapur,Electronics,32,7444.0,238208.0,30967.04,269175.04,Overdue
INV-20810028,2024-09-08,Annapurna Stores,Janakpur,Food,45,7839.0,352755.0,45858.15,398613.15,Paid
INV-20810029,2024-09-10,Janakpur Wholesale,Hetauda,Hardware,47,660.0,31020.0,4032.6,35052.6,Paid
INV-20810030,2024-09-12,Kathmandu Distributors,Butwal,Stationery,21,2462.0,51702.0,6721.26,58423.26,Paid
INV-20810031,2024-09-14,Nepalgunj Goods,Pokhara,Cosmetics,16,6882.0,110112.0,14314.56,124426.56,Paid
INV-20810032,2024-09-16,Annapurna Stores,Kathmandu,Cosmetics,21,6398.0,134358.0,17466.54,151824.54,Paid
INV-20810033,2024-09-18,Pokhara Mart,Lalitpur,Food,11,1691.0,18601.0,2418.13,21019.13,Pending
INV-20810034,2024-09-20,Annapurna Stores,Kathmandu,Electronics,37,1898.0,70226.0,9129.38,79355.38,Paid
INV-20810035,2024-09-22,Janakpur Wholesale,Biratnagar,Electronics,36,3243.0,116748.0,15177.24,131925.24,Paid
INV-20810036,2024-09-24,Pokhara Mart,Biratnagar,Cosmetics,35,4196.0,146860.0,19091.8,165951.8,Paid
INV-20810037,2024-09-26,Nepalgunj Goods,Janakpur,Food,19,5312.0,100928.0,13120.64,114048.64,Paid
INV-20810038,2024-09-28,Janakpur Wholesale,Butwal,Hardware,20,3230.0,64600.0,8398.0,72998.0,Overdue
INV-20810039,2024-09-30,Everest Suppliers,Butwal,Electronics,18,4012.0,72216.0,9388.08,81604.08,Paid
INV-20810040,2024-10-02,Kathmandu Distributors,Bhaktapur,Hardware,47,6391.0,300377.0,39049.01,339426.01,Paid
INV-20810041,2024-10-04,Nepalgunj Goods,Bhaktapur,Electronics,41,456.0,18696.0,2430.48,21126.48,Pending
INV-20810042,2024-10-06,Everest Suppliers,Bhaktapur,Electronics,49,2258.0,110642.0,14383.46,125025.45999999999,Paid
INV-20810043,2024-10-08,Birgunj Cargo,Pokhara,Textile,14,6106.0,85484.0,11112.92,96596.92,Paid
INV-20810044,2024-10-10,Nepalgunj Goods,Nepalgunj,Electronics,15,7625.0,114375.0,14868.75,129243.75,Paid
INV-20810045,2024-10-12,Birgunj Cargo,Birgunj,Stationery,31,4423.0,137113.0,17824.69,154937.69,Paid
INV-20810046,2024-10-14,Pokhara Mart,Nepalgunj,Food,1,4593.0,4593.0,597.09,5190.09,Paid
INV-20810047,2024-10-16,Everest Suppliers,Kathmandu,Food,3,1045.0,3135.0,407.55,3542.55,Paid
INV-20810048,2024-10-18,Kathmandu Distributors,Nepalgunj,Hardware,16,3886.0,62176.0,8082.88,70258.88,Paid
INV-20810049,2024-10-20,Janakpur Wholesale,Pokhara,Electronics,23,4597.0,105731.0,13745.03,119476.03,Overdue
INV-20810050,2024-10-22,Biratnagar Enterprise,Kathmandu,Stationery,11,2175.0,23925.0,3110.25,27035.25,Paid
INV-20810051,2024-10-24,Annapurna Stores,Nepalgunj,Hardware,12,2398.0,28776.0,3740.88,32516.88,Paid
INV-20810052,2024-10-26,Himalayan Traders,Pokhara,Textile,10,3300.0,33000.0,4290.0,37290.0,Pending
INV-20810053,2024-10-28,Kathmandu Distributors,Birgunj,Hardware,32,318.0,10176.0,1322.88,11498.880000000001,Paid
INV-20810054,2024-10-30,Everest Suppliers,Nepalgunj,Hardware,16,2839.0,45424.0,5905.12,51329.12,Pending
INV-20810055,2024-11-01,Biratnagar Enterprise,Pokhara,Electronics,8,1916.0,15328.0,1992.64,17320.64,Paid
INV-20810056,2024-11-03,Kathmandu Distributors,Bhaktapur,Textile,38,2885.0,109630.0,14251.9,123881.9,Overdue
INV-20810057,2024-11-05,Everest Suppliers,Butwal,Hardware,12,1150.0,13800.0,1794.0,15594.0,Paid
INV-20810058,2024-11-07,Lumbini Imports,Bhaktapur,Stationery,24,7586.0,182064.0,23668.32,205732.32,Paid
INV-20810059,2024-11-09,Lumbini Imports,Butwal,Stationery,28,5106.0,142968.0,18585.84,161553.84,Paid
INV-20810060,2024-11-11,Birgunj Cargo,Lalitpur,Food,8,5821.0,46568.0,6053.84,52621.84,Overdue
INV-20810061,2024-11-13,Kathmandu Distributors,Lalitpur,Textile,28,6740.0,188720.0,24533.6,213253.6,Paid
INV-20810062,2024-11-15,Lumbini Imports,Lalitpur,Textile,36,4312.0,155232.0,20180.16,175412.16,Paid
INV-20810063,2024-11-17,Everest Suppliers,Birgunj,Food,26,876.0,22776.0,2960.88,25736.88,Paid
INV-20810064,2024-11-19,Birgunj Cargo,Bhaktapur,Hardware,8,4635.0,37080.0,4820.4,41900.4,Pending
INV-20810065,2024-11-21,Everest Suppliers,Butwal,Textile,28,5050.0,141400.0,18382.0,159782.0,Paid
INV-20810066,2024-11-23,Birgunj Cargo,Pokhara,Stationery,28,6374.0,178472.0,23201.36,201673.36,Overdue
INV-20810067,2024-11-25,Kathmandu Distributors,Kathmandu,Stationery,37,3754.0,138898.0,18056.74,156954.74,Paid
INV-20810068,2024-11-27,Biratnagar Enterprise,Pokhara,Electronics,41,1215.0,49815.0,6475.95,56290.95,Paid
INV-20810069,2024-11-29,Janakpur Wholesale,Kathmandu,Textile,36,2520.0,90720.0,11793.6,102513.6,Paid
INV-20810070,2024-12-01,Nepalgunj Goods,Biratnagar,Hardware,27,3182.0,85914.0,11168.82,97082.82,Paid
INV-20810071,2024-12-03,Biratnagar Enterprise,Pokhara,Food,17,5543.0,94231.0,12250.03,106481.03,Paid
INV-20810072,2024-12-05,Pokhara Mart,Nepalgunj,Food,9,4916.0,44244.0,5751.72,49995.72,Paid
INV-20810073,2024-12-07,Everest Suppliers,Nepalgunj,Hardware,33,3123.0,103059.0,13397.67,116456.67,Pending
INV-20810074,2024-12-09,Pokhara Mart,Janakpur,Cosmetics,20,8387.0,167740.0,21806.2,189546.2,Paid
INV-20810075,2024-12-11,Biratnagar Enterprise,Bhaktapur,Electronics,13,5208.0,67704.0,8801.52,76505.52,Paid
INV-20810076,2024-12-13,Birgunj Cargo,Kathmandu,Food,28,2131.0,59668.0,7756.84,67424.84,Paid
INV-20810077,2024-12-15,Nepalgunj Goods,Kathmandu,Textile,48,1000.0,48000.0,6240.0,54240.0,Paid
INV-20810078,2024-12-17,Nepalgunj Goods,Bhaktapur,Electronics,29,1426.0,41354.0,5376.02,46730.020000000004,Paid
INV-20810079,2024-12-19,Himalayan Traders,Birgunj,Textile,13,2204.0,28652.0,3724.76,32376.760000000002,Paid
INV-20810080,2024-12-21,Nepalgunj Goods,Janakpur,Stationery,46,1492.0,68632.0,8922.16,77554.16,Paid
INV-20810081,2024-12-23,Janakpur Wholesale,Birgunj,Electronics,35,1708.0,59780.0,7771.4,67551.4,Overdue
INV-20810082,2024-12-25,Nepalgunj Goods,Birgunj,Food,6,2531.0,15186.0,1974.18,17160.18,Overdue
INV-20810083,2024-12-27,Biratnagar Enterprise,Birgunj,Electronics,18,1598.0,28764.0,3739.32,32503.32,Paid
INV-20810084,2024-12-29,Himalayan Traders,Bhaktapur,Electronics,5,7638.0,38190.0,4964.7,43154.7,Paid
INV-20810085,2024-12-31,Biratnagar Enterprise,Birgunj,Electronics,47,820.0,38540.0,5010.2,43550.2,Pending
INV-20810086,2025-01-02,Biratnagar Enterprise,Nepalgunj,Cosmetics,25,4530.0,113250.0,14722.5,127972.5,Paid
INV-20810087,2025-01-04,Annapurna Stores,Lalitpur,Electronics,2,3577.0,7154.0,930.02,8084.02,Paid
INV-20810088,2025-01-06,Himalayan Traders,Biratnagar,Textile,10,8353.0,83530.0,10858.9,94388.9,Paid
INV-20810089,2025-01-08,Biratnagar Enterprise,Kathmandu,Stationery,30,1086.0,32580.0,4235.4,36815.4,Pending
INV-20810090,2025-01-10,Annapurna Stores,Kathmandu,Hardware,45,3472.0,156240.0,20311.2,176551.2,Pending
INV-20810091,2025-01-12,Annapurna Stores,Biratnagar,Electronics,5,8245.0,41225.0,5359.25,46584.25,Paid
INV-20810092,2025-01-14,Himalayan Traders,Bhaktapur,Food,33,7377.0,243441.0,31647.33,275088.33,Paid
INV-20810093,2025-01-16,Pokhara Mart,Pokhara,Electronics,1,6973.0,6973.0,906.49,7879.49,Paid
INV-20810094,2025-01-18,Birgunj Cargo,Bhaktapur,Food,18,2303.0,41454.0,5389.02,46843.020000000004,Pending
INV-20810095,2025-01-20,Janakpur Wholesale,Kathmandu,Textile,32,1577.0,50464.0,6560.32,57024.32,Paid
INV-20810096,2025-01-22,Birgunj Cargo,Kathmandu,Food,47,5733.0,269451.0,35028.63,304479.63,Paid
INV-20810097,2025-01-24,Nepalgunj Goods,Biratnagar,Hardware,49,7910.0,387590.0,50386.7,437976.7,Pending
INV-20810098,2025-01-26,Janakpur Wholesale,Birgunj,Stationery,11,4799.0,52789.0,6862.57,59651.57,Paid
INV-20810099,2025-01-28,Nepalgunj Goods,Bhaktapur,Food,21,4923.0,103383.0,13439.79,116822.79000000001,Pending
INV-20810100,2025-01-30,Biratnagar Enterprise,Butwal,Food,26,2488.0,64688.0,8409.44,73097.44,Paid
INV-20810101,2025-02-01,Everest Suppliers,Biratnagar,Stationery,25,6575.0,164375.0,21368.75,185743.75,Paid
INV-20810102,2025-02-03,Himalayan Traders,Nepalgunj,Hardware,22,1712.0,37664.0,4896.32,42560.32,Paid
INV-20810103,2025-02-05,Janakpur Wholesale,Kathmandu,Electronics,27,2853.0,77031.0,10014.03,87045.03,Pending
